"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"07 Sendling - Westpark",56.9,1038,1824,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"08 Schwanthalerhöhe",49.3,385,781,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"09 Neuhausen - Nymphenburg",50.1,1539,3070,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"10 Moosach",65.7,1101,1676,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"11 Milbertshofen - Am Hart",70.3,1568,2229,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"12 Schwabing - Freimann",52.5,1109,2112,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"13 Bogenhausen",54.5,1563,2866,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"14 Berg am Laim",64.3,906,1410,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"15 Trudering - Riem",55.4,1288,2323,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"16 Ramersdorf - Perlach",68.1,2436,3575,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"17 Obergiesing - Fasangarten",54.6,853,1563,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"18 Untergiesing - Harlaching",46.1,719,1560,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",57.7,1786,3097,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"20 Hadern",59.1,866,1465,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"21 Pasing - Obermenzing",53.3,1383,2596,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"22 Aubing - Lochhausen - Langwied",62.5,1382,2211,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"23 Allach - Untermenzing",52,642,1234,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"24 Feldmoching - Hasenbergl",67,1336,1995,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2022,"25 Laim",57,904,1585,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"Stadt München",58.5,28247,48279,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"01 Altstadt - Lehel",46.5,263,565,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"02 Ludwigsvorstadt - Isarvorstadt",43.5,634,1459,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"03 Maxvorstadt",46.7,655,1402,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"04 Schwabing - West",46.8,939,2006,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"05 Au - Haidhausen",46.7,971,2079,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"06 Sendling",50.3,631,1255,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"07 Sendling - Westpark",59.9,1046,1746,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"08 Schwanthalerhöhe",53.5,458,856,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"09 Neuhausen - Nymphenburg",52.9,1664,3144,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"10 Moosach",67.8,1141,1682,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"11 Milbertshofen - Am Hart",73.7,1663,2257,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"12 Schwabing - Freimann",54.8,1282,2338,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"13 Bogenhausen",56.2,1656,2946,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"14 Berg am Laim",69.7,1055,1513,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"15 Trudering - Riem",57.1,1319,2312,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"16 Ramersdorf - Perlach",72.4,2599,3591,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"17 Obergiesing - Fasangarten",58.2,963,1656,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"18 Untergiesing - Harlaching",49.9,775,1553,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",60.5,1903,3146,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"20 Hadern",63.8,890,1395,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"21 Pasing - Obermenzing",54.7,1430,2612,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"22 Aubing - Lochhausen - Langwied",64.4,1308,2032,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"23 Allach - Untermenzing",55.5,648,1167,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"24 Feldmoching - Hasenbergl",69.5,1370,1970,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2021,"25 Laim",61.6,984,1597,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"Stadt München",59.7,28573,47863,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"01 Altstadt - Lehel",48.4,281,580,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"02 Ludwigsvorstadt - Isarvorstadt",46.2,675,1460,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"03 Maxvorstadt",48.4,684,1412,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"04 Schwabing - West",49.2,969,1971,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"05 Au - Haidhausen",46.3,926,1998,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"06 Sendling",51.4,656,1277,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"07 Sendling - Westpark",62.4,1103,1768,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"08 Schwanthalerhöhe",54.2,474,874,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"09 Neuhausen - Nymphenburg",54.1,1751,3236,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"10 Moosach",68.3,1146,1677,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"11 Milbertshofen - Am Hart",75.1,1683,2241,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"12 Schwabing - Freimann",56.3,1300,2311,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"13 Bogenhausen",56.5,1701,3009,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"14 Berg am Laim",69.8,1044,1495,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"15 Trudering - Riem",59.4,1383,2330,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"16 Ramersdorf - Perlach",74.1,2675,3610,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"17 Obergiesing - Fasangarten",59.8,977,1635,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"18 Untergiesing - Harlaching",50.9,770,1514,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",61.8,1905,3082,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"20 Hadern",62.9,837,1331,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"21 Pasing - Obermenzing",56.9,1398,2459,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"22 Aubing - Lochhausen - Langwied",64.9,1224,1886,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"23 Allach - Untermenzing",55.9,613,1096,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"24 Feldmoching - Hasenbergl",70.7,1369,1936,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2020,"25 Laim",61.4,1029,1675,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2019,"Stadt München",60.3,29174,48398,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2019,"01 Altstadt - Lehel",52,311,598,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2019,"02 Ludwigsvorstadt - Isarvorstadt",47.9,723,1510,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2019,"03 Maxvorstadt",48.5,683,1407,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
